"Step","7b_INTERLEAVE - batch/solve_none","7b_INTERLEAVE - batch/solve_none__MIN","7b_INTERLEAVE - batch/solve_none__MAX","7b_on_policy - batch/solve_none","7b_on_policy - batch/solve_none__MIN","7b_on_policy - batch/solve_none__MAX"
"1","40","40","40","41","41","41"
"2","40","40","40","36","36","36"
"3","37","37","37","40","40","40"
"4","44","44","44","53","53","53"
"5","40","40","40","45","45","45"
"6","41","41","41","43","43","43"
"7","29","29","29","35","35","35"
"8","36","36","36","40","40","40"
"9","49","49","49","55","55","55"
"10","40","40","40","40","40","40"
"11","41","41","41","38","38","38"
"12","39","39","39","39","39","39"
"13","41","41","41","43","43","43"
"14","46","46","46","45","45","45"
"15","41","41","41","46","46","46"
"16","37","37","37","40","40","40"
"17","39","39","39","38","38","38"
"18","39","39","39","31","31","31"
"19","28","28","28","32","32","32"
"20","36","36","36","36","36","36"
"21","39","39","39","39","39","39"
"22","31","31","31","28","28","28"
"23","26","26","26","28","28","28"
"24","42","42","42","33","33","33"
"25","27","27","27","28","28","28"
"26","30","30","30","32","32","32"
"27","25","25","25","32","32","32"
"28","42","42","42","37","37","37"
"29","42","42","42","46","46","46"
"30","29","29","29","38","38","38"
"31","38","38","38","38","38","38"
"32","25","25","25","23","23","23"
"33","35","35","35","36","36","36"
"34","26","26","26","30","30","30"
"35","37","37","37","32","32","32"
"36","32","32","32","29","29","29"
"37","31","31","31","34","34","34"
"38","34","34","34","39","39","39"
"39","31","31","31","35","35","35"
"40","32","32","32","33","33","33"
"41","37","37","37","38","38","38"
"42","34","34","34","40","40","40"
"43","34","34","34","31","31","31"
"44","30","30","30","31","31","31"
"45","25","25","25","24","24","24"
"46","31","31","31","32","32","32"
"47","26","26","26","34","34","34"
"48","25","25","25","31","31","31"
"49","26","26","26","25","25","25"
"50","39","39","39","43","43","43"
"51","40","40","40","40","40","40"
"52","30","30","30","27","27","27"
"53","40","40","40","39","39","39"
"54","29","29","29","24","24","24"
"55","33","33","33","30","30","30"
"56","23","23","23","26","26","26"
"57","30","30","30","29","29","29"
"58","40","40","40","39","39","39"
"59","27","27","27","28","28","28"
"60","26","26","26","37","37","37"
"61","24","24","24","28","28","28"
"62","25","25","25","25","25","25"
"63","39","39","39","34","34","34"
"64","21","21","21","23","23","23"
"65","23","23","23","29","29","29"
"66","28","28","28","31","31","31"
"67","24","24","24","29","29","29"
"68","26","26","26","23","23","23"
"69","24","24","24","27","27","27"
"70","25","25","25","30","30","30"
"71","29","29","29","31","31","31"
"72","36","36","36","34","34","34"
"73","32","32","32","38","38","38"
"74","23","23","23","25","25","25"
"75","24","24","24","20","20","20"
"76","29","29","29","25","25","25"
"77","27","27","27","34","34","34"
"78","27","27","27","27","27","27"
"79","28","28","28","28","28","28"
"80","41","41","41","36","36","36"
"81","32","32","32","33","33","33"
"82","29","29","29","33","33","33"
"83","36","36","36","35","35","35"
"84","28","28","28","31","31","31"
"85","26","26","26","36","36","36"
"86","22","22","22","24","24","24"
"87","33","33","33","31","31","31"
"88","24","24","24","28","28","28"
"89","26","26","26","29","29","29"
"90","31","31","31","33","33","33"
"91","19","19","19","24","24","24"
"92","20","20","20","22","22","22"
"93","16","16","16","17","17","17"
"94","29","29","29","29","29","29"
"95","20","20","20","26","26","26"
"96","16","16","16","17","17","17"
"97","28","28","28","34","34","34"
"98","28","28","28","29","29","29"
"99","24","24","24","26","26","26"
"100","27","27","27","27","27","27"
"101","24","24","24","28","26","30"
"102","27","27","27","34.5","34","35"
"103","27","27","27","31.5","29","34"
"104","26","26","26","32","32","32"
"105","20","20","20","23","23","23"
"106","26","26","26","30.5","30","31"
"107","23","23","23","26","24","28"
"108","21","21","21","28","26","30"
"109","25","25","25","34.5","30","39"
"110","25","25","25","31","31","31"
"111","24","24","24","24","21","27"
"112","20","20","20","27","26","28"
"113","21","21","21","24","24","24"
"114","24","24","24","22.5","22","23"
